billing_id,room_id,period,total_kwh,total_amount_idr,status,generated_at
BILL-2015-05-R-101,R-101,2015-05,150.5950,217565,generated,2015-05-01T00:00:00Z
BILL-2015-06-R-101,R-101,2015-06,365.2350,527655,generated,2015-06-01T00:00:00Z
BILL-2015-07-R-101,R-101,2015-07,352.6700,509502,generated,2015-07-01T00:00:00Z
BILL-2015-08-R-101,R-101,2015-08,345.5450,499209,generated,2015-08-01T00:00:00Z
BILL-2015-09-R-101,R-101,2015-09,377.5880,545501,generated,2015-09-01T00:00:00Z
BILL-2015-10-R-101,R-101,2015-10,407.0520,588068,generated,2015-10-01T00:00:00Z
BILL-2015-11-R-101,R-101,2015-11,459.4600,663782,generated,2015-11-01T00:00:00Z
BILL-2015-12-R-101,R-101,2015-12,454.2020,656186,generated,2015-12-01T00:00:00Z
BILL-2016-01-R-101,R-101,2016-01,494.9660,715077,generated,2016-01-01T00:00:00Z
BILL-2016-02-R-101,R-101,2016-02,439.9170,635548,generated,2016-02-01T00:00:00Z
BILL-2016-03-R-101,R-101,2016-03,476.5900,688530,generated,2016-03-01T00:00:00Z
BILL-2016-04-R-101,R-101,2016-04,396.2260,572428,generated,2016-04-01T00:00:00Z
BILL-2016-05-R-101,R-101,2016-05,426.2640,615824,generated,2016-05-01T00:00:00Z
BILL-2016-06-R-101,R-101,2016-06,362.6630,523939,generated,2016-06-01T00:00:00Z
BILL-2016-07-R-101,R-101,2016-07,394.6870,570204,generated,2016-07-01T00:00:00Z
BILL-2016-08-R-101,R-101,2016-08,416.6040,601868,generated,2016-08-01T00:00:00Z
BILL-2016-09-R-101,R-101,2016-09,400.6330,578794,generated,2016-09-01T00:00:00Z
BILL-2016-10-R-101,R-101,2016-10,452.3940,653574,generated,2016-10-01T00:00:00Z
BILL-2016-11-R-101,R-101,2016-11,411.1600,594003,generated,2016-11-01T00:00:00Z
BILL-2016-12-R-101,R-101,2016-12,479.5950,692871,generated,2016-12-01T00:00:00Z
BILL-2017-01-R-101,R-101,2017-01,445.1400,643094,generated,2017-01-01T00:00:00Z
BILL-2017-02-R-101,R-101,2017-02,441.1750,637366,generated,2017-02-01T00:00:00Z
BILL-2017-03-R-101,R-101,2017-03,145.9150,210803,generated,2017-03-01T00:00:00Z
BILL-2015-04-R-102,R-102,2015-04,110.4200,159524,generated,2015-04-01T00:00:00Z
BILL-2015-05-R-102,R-102,2015-05,147.4700,213050,generated,2015-05-01T00:00:00Z
BILL-2015-06-R-102,R-102,2015-06,126.0420,182093,generated,2015-06-01T00:00:00Z
BILL-2015-07-R-102,R-102,2015-07,171.8530,248276,generated,2015-07-01T00:00:00Z
BILL-2015-08-R-102,R-102,2015-08,134.8950,194883,generated,2015-08-01T00:00:00Z
