alert_id,room_id,alert_type,message,triggered_at,is_read
ALT-2020-01-R-107-WARN,R-107,usage_warning,Penggunaan R-107 sudah mencapai 80% batas bulanan.,2020-01-03T21:00:00Z,False
ALT-2020-01-R-103-WARN,R-103,usage_warning,Penggunaan R-103 sudah mencapai 80% batas bulanan.,2020-01-04T03:00:00Z,False
ALT-2020-01-R-107-LIMIT,R-107,limit_exceeded,Penggunaan R-107 melewati batas bulanan 50 kWh.,2020-01-04T15:00:00Z,False
ALT-2020-01-R-103-LIMIT,R-103,limit_exceeded,Penggunaan R-103 melewati batas bulanan 50 kWh.,2020-01-04T18:00:00Z,False
ALT-2020-01-R-109-WARN,R-109,usage_warning,Penggunaan R-109 sudah mencapai 80% batas bulanan.,2020-01-04T18:00:00Z,False
ALT-2020-01-R-105-WARN,R-105,usage_warning,Penggunaan R-105 sudah mencapai 80% batas bulanan.,2020-01-04T20:00:00Z,False
ALT-2020-01-R-101-WARN,R-101,usage_warning,Penggunaan R-101 sudah mencapai 80% batas bulanan.,2020-01-05T06:00:00Z,False
ALT-2020-01-R-110-WARN,R-110,usage_warning,Penggunaan R-110 sudah mencapai 80% batas bulanan.,2020-01-05T08:00:00Z,False
ALT-2020-01-R-102-WARN,R-102,usage_warning,Penggunaan R-102 sudah mencapai 80% batas bulanan.,2020-01-05T16:00:00Z,False
ALT-2020-01-R-109-LIMIT,R-109,limit_exceeded,Penggunaan R-109 melewati batas bulanan 50 kWh.,2020-01-05T16:00:00Z,False
ALT-2020-01-R-104-WARN,R-104,usage_warning,Penggunaan R-104 sudah mencapai 80% batas bulanan.,2020-01-05T17:00:00Z,False
ALT-2020-01-R-105-LIMIT,R-105,limit_exceeded,Penggunaan R-105 melewati batas bulanan 50 kWh.,2020-01-05T19:00:00Z,False
ALT-2020-01-R-106-WARN,R-106,usage_warning,Penggunaan R-106 sudah mencapai 80% batas bulanan.,2020-01-05T20:00:00Z,False
ALT-2020-01-R-101-LIMIT,R-101,limit_exceeded,Penggunaan R-101 melewati batas bulanan 50 kWh.,2020-01-06T04:00:00Z,False
ALT-2020-01-R-108-WARN,R-108,usage_warning,Penggunaan R-108 sudah mencapai 80% batas bulanan.,2020-01-06T05:00:00Z,False
ALT-2020-01-R-110-LIMIT,R-110,limit_exceeded,Penggunaan R-110 melewati batas bulanan 50 kWh.,2020-01-06T11:00:00Z,False
